,cross_section,unc_cross_section
0,4.388230801269733e-27,1.0631580774266557e-28
1,5.548428240161407e-27,1.7540860948949757e-28
2,6.266443448286669e-27,1.6583609679672737e-28
3,7.103612278763684e-27,2.2626584146275376e-28
4,7.504155289042886e-27,2.426858985888981e-28
5,8.339442650956342e-27,2.155771663865624e-28
6,9.474921106277568e-27,2.2505638176262637e-28
7,9.492168736375005e-27,7.9711700812892805e-28
8,1.1376239855845814e-26,3.3264296610664866e-28
9,1.4289012336690722e-26,3.6526961373316882e-28
10,2.7241804957901323e-26,7.923285351510728e-28
11,1.0563016651221118e-25,2.997994675282011e-27
12,2.314815282106003e-25,1.061962921667622e-26
13,1.1850504851379514e-25,4.895878692919891e-27
