,cross_section,unc_cross_section
0,3.0395215161892916e-26,1.6755098377839712e-27
1,4.0541746084920986e-26,2.7106502022696967e-27
2,5.328243295031532e-26,3.8277996458179164e-27
3,5.0255899509867554e-26,3.390224318177051e-27
4,4.3328470972152524e-26,3.0824280893384603e-27
5,2.5554360910657548e-26,1.9540455702057126e-27
6,5.354125196679038e-27,1.5162254535924715e-28
7,6.1341638033385994e-27,3.160079996233515e-28
8,2.6847989401757037e-28,8.455107937797641e-30
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
