,cross_section,unc_cross_section
0,0.0,0.0
1,0.0,0.0
2,6.629876936797103e-26,2.5798705347434604e-27
3,7.174166371009663e-26,3.1744912191198613e-27
4,7.354362183809423e-26,2.0290531151218726e-27
5,8.193335981867793e-26,2.5589504686926684e-27
6,9.859961390569999e-26,4.03756833582903e-27
7,9.331824731088644e-26,1.1223567481800295e-26
8,1.2434876753247577e-25,3.6947404455266325e-27
9,1.1905393376959887e-25,4.5592440503763944e-27
10,8.33882433718738e-26,2.416413102798664e-27
11,1.5017791314942793e-26,7.984274527883008e-28
12,0.0,0.0
13,0.0,0.0
