,cross_section,unc_cross_section
0,1.8234651126927734e-26,3.9620618607777063e-28
1,6.422455572897293e-21,7.864814447734749e-21
2,1.10661449060329e-22,2.0523605853050206e-22
3,2.6167736807503207e-25,5.183969147792706e-25
4,2.9358528657107287e-24,5.26169477302617e-24
5,7.73799300388098e-27,2.0296726994386675e-26
6,1.8152279097637563e-26,4.145265714965487e-28
7,2.5568411053019423e-24,6.174928589191817e-24
8,1.6948402285164788e-26,3.9430999215078297e-28
9,1.6476985457712686e-26,3.9075701605803026e-28
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
