name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145117271366498,29.85419102,0.46728040291816175
Sn08,Sn,8.046865212275799,29.66749144,0.45515656990394676
Ta08,Ta,27.2272634699373,29.50606602,0.4662836160550353
Cu08,Cu,22.197401921045,29.250357839999996,0.4716712201847113
Al_degrader_E2_E1,Al,136.6,28.09013465142857,0.836187995632813
Ni09,Ni,22.6620064110796,26.89338952,0.5058679748256155
Sn09,Sn,7.8286470745411,26.69580938,0.49376204421159753
Ta09,Ta,27.3770561175463,26.522076139999996,0.5062953802304544
Cu09,Cu,22.0914785222995,26.24531956,0.5126383737893666
Al_degrader_E4_E3,Al,136.6,24.977387133333334,0.8971624532906227
Ni10,Ni,23.1074205467587,23.65763012,0.5592753258179602
Sn10,Sn,8.2321721033795,23.43413152,0.5462422577414618
Ta10,Ta,27.164647152063502,23.24205064,0.5602467067958458
Cu10,Cu,22.2644313328078,22.936641299999994,0.5690011549498911
Al_degrader_E6_E5,Al,136.6,21.51598389272727,0.9950637046260868
Ni11,Ni,22.9408584114204,20.026371019999996,0.6358522385776113
Sn11,Sn,7.982003804529199,19.77601092,0.6227099344323596
Ta11,Ta,27.2001347393243,19.56054106,0.6397415753678014
Cu11,Cu,22.210567283127602,19.21369268,0.6520307331057468
Al_degrader_E8_E7,Al,136.6,17.56082222,1.1489476473861946
Ni12,Ni,23.1554160125588,15.794704059999997,0.7642928696641859
Sn12,Sn,8.021438398029,15.49272354,0.7519248459320041
Ta12,Ta,27.7023349124437,15.232361119999998,0.7756907339348238
Cu12,Cu,22.1770476188809,14.811509559999998,0.7961162133938778
Al_degrader_E9,Al,68.3,13.689465409999999,1.003727037303236
Ni13,Ni,23.1531870655676,12.482446728,0.9076054377548065
Sn13,Sn,7.3537483114218,12.127861500000002,0.906158244026809
Ta13,Ta,27.336886972071003,11.82771912,0.9361164738356149
Cu13,Cu,22.1683258846436,11.322997788,0.969532678349269
Al_degrader_E10,Al,68.3,9.902108565000002,1.2802221317699678
Ni14,Ni,23.06711661929,8.306378559999999,1.2421703939364868
Sn14,Sn,7.6195431461658005,7.818236019999999,1.2780344337984637
Ta14,Ta,27.3605790832109,7.4022811275,1.3444526279335127
Cu14,Cu,22.1246408363628,6.673828761818182,1.4671834823228898
