name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.0787121671831,54.90832333333334,0.5536870856258874
Sn01,Sn,37.475120718456,54.69315333333333,0.5587394650659842
Ta01,Ta,27.3337986505956,54.48989,0.5551208167897627
Cu01,Cu,21.9057003939711,54.324920000000006,0.5569940097822716
Al_degrader_A1,Al,44.925,54.03628000000001,0.5793747448183545
Ni02,Ni,23.090851723177398,53.73762,0.5624909500901623
Sn02,Sn,37.2112063333549,53.51994333333333,0.5679227618748482
Ta02,Ta,27.3962715876557,53.314,0.5644743867823706
Cu02,Cu,22.2351845247373,53.14477333333334,0.5662467206282278
Al_degrader_B2,Al,31.125,52.91414666666667,0.5758436175058488
Ni03,Ni,22.9661533006776,52.67552666666668,0.5708756922093947
Sn03,Sn,37.1299263811205,52.45465666666667,0.5765587412590518
Ta03,Ta,27.701888045416503,52.244780000000006,0.5732731329247284
Cu03,Cu,22.253238191917603,52.07259333333334,0.5751795730803458
Al_degrader_C5,Al,261.5,50.741488000000004,1.0569537103657851
Ni04,Ni,22.982227131238,49.38869666666667,0.5977454039880933
Sn04,Sn,36.990398871936,49.160920000000004,0.6035009695656393
Ta04,Ta,27.5178082110051,48.94682,0.6002198660491004
Cu04,Cu,22.2886314033321,48.76961666666667,0.6023754530099056
Al_degrader_E8_E1,Al,10.245,48.62751666666667,0.6002073250598959
Ni05,Ni,22.9422570853291,48.476690000000005,0.6058872094430338
Sn05,Sn,8.004362278289099,48.348353333333336,0.6018055791994252
Ta05,Ta,27.1974809964118,48.23513333333334,0.6063406486639521
Cu05,Cu,22.3113271754174,48.05701333333334,0.6088460230815524
Al_degrader_E4_E3_E2,Al,15.3675,47.88740333333334,0.6089641401502135
Ni06,Ni,22.6306650304102,47.71094000000001,0.6127628549447168
Sn06,Sn,7.816394401438701,47.582840000000004,0.6091700920651528
Ta06,Ta,27.3737995344027,47.46830666666667,0.6139523862827004
Cu06,Cu,22.2327148063246,47.287893333333336,0.6165187982715712
Al_degrader_E7_E6_E5,Al,15.3675,47.11667,0.6162819520587418
Ni07,Ni,22.5286949192319,46.93859666666667,0.6200222823863313
Sn07,Sn,25.755854006141,46.74469666666668,0.6210643079871484
Ta07,Ta,27.5385876414374,46.56304333333334,0.6225604694503355
Cu07,Cu,22.2583804814744,46.37950333333334,0.6251036340657621
