name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145117271366498,29.85401958,0.4670828639295426
Sn08,Sn,8.046865212275799,29.66731216,0.45493478952058
Ta08,Ta,27.2272634699373,29.50586154,0.46607037317215133
Cu08,Cu,22.197401921045,29.2501927,0.47143485410681085
Al_degrader_E2_E1,Al,136.6,28.08996202285714,0.8360622456922823
Ni09,Ni,22.6620064110796,26.8932114,0.5056456906867101
Sn09,Sn,7.8286470745411,26.69563226,0.49352200968882065
Ta09,Ta,27.3770561175463,26.521890680000002,0.5060669368069185
Cu09,Cu,22.0914785222995,26.245121,0.5124168343829074
Al_degrader_E4_E3,Al,136.6,24.977191159999997,0.8970163155806333
Ni10,Ni,23.1074205467587,23.6574287,0.5590039495534088
Sn10,Sn,8.2321721033795,23.433935660000003,0.5459751721281513
Ta10,Ta,27.164647152063502,23.241826419999995,0.5599842056611808
Cu10,Cu,22.2644313328078,22.93641686,0.5687462923903245
Al_degrader_E6_E5,Al,136.6,21.51575982,0.9949011571557906
Ni11,Ni,22.9408584114204,20.0261427,0.6355582271017424
Sn11,Sn,7.982003804529199,19.77577882,0.6224164715360668
Ta11,Ta,27.2001347393243,19.560319079999996,0.6394395212902887
Cu11,Cu,22.210567283127602,19.213472300000003,0.6517311153633145
Al_degrader_E8_E7,Al,136.6,17.560581159999998,1.1487529014775346
Ni12,Ni,23.1554160125588,15.794433479999999,0.7639347795820592
Sn12,Sn,8.021438398029,15.492432059999999,0.7515400134950609
Ta12,Ta,27.7023349124437,15.232073799999998,0.7753292741497382
Cu12,Cu,22.1770476188809,14.811226979999999,0.7957604919321388
Al_degrader_E9,Al,68.3,13.689168654999998,1.0034062003822235
Ni13,Ni,23.1531870655676,12.482135964,0.9071939965728337
Sn13,Sn,7.3537483114218,12.12753134,0.9057293572131824
Ta13,Ta,27.336886972071003,11.82737595,0.9356886782266831
Cu13,Cu,22.1683258846436,11.32267728,0.9691092105288246
Al_degrader_E10,Al,68.3,9.901741856999998,1.2798349789930696
Ni14,Ni,23.06711661929,8.305965019999999,1.2416785961497443
Sn14,Sn,7.6195431461658005,7.817811719999999,1.2775628768208012
Ta14,Ta,27.3605790832109,7.401860317500001,1.3439036669042908
Cu14,Cu,22.1246408363628,6.673497294545455,1.4661413005151709
