name,compound,areal_density,mu_E,sig_E
Ni01,Ni,23.0787121671831,54.90806666666667,0.558497623589891
Sn01,Sn,37.475120718456,54.69312666666667,0.5641271345676926
Ta01,Ta,27.3337986505956,54.48971,0.5607109616965471
Cu01,Cu,21.9057003939711,54.324796666666664,0.5619772759245302
Al_degrader_A1,Al,599.0,51.44477363636365,1.8824206982295801
Ni02,Ni,23.090851723177398,48.478680000000004,0.6132716561742168
Sn02,Sn,37.2112063333549,48.24649666666667,0.6189443108946788
Ta02,Ta,27.3962715876557,48.02923333333334,0.6155025688185406
Cu02,Cu,22.2351845247373,47.85004000000001,0.6179050615318398
Al_degrader_B2,Al,415.0,45.63245,1.5254389159808692
Ni03,Ni,22.9661533006776,43.35262,0.668092161007746
Sn03,Sn,37.1299263811205,43.10127000000001,0.6749644833372098
Ta03,Ta,27.701888045416503,42.86464,0.6723349887270977
Cu03,Cu,22.253238191917603,42.668973333333334,0.6753873056418978
Al_degrader_C5,Al,261.5,41.11094142857143,1.1972291817827718
Ni04,Ni,22.982227131238,39.514566666666674,0.7174569526381976
Sn04,Sn,36.990398871936,39.245830000000005,0.7256419762986889
Ta04,Ta,27.5178082110051,38.99374333333335,0.7230372425554735
Cu04,Cu,22.2886314033321,38.78423333333333,0.7268851896199904
Al_degrader_E8_E1,Al,136.6,37.86085800000001,0.9350160981694385
Ni05,Ni,22.9422570853291,36.91614333333333,0.756140678790807
Sn05,Sn,8.004362278289099,36.75837333333334,0.7521896174650528
Ta05,Ta,27.1974809964118,36.619796666666666,0.7586167842344528
Cu05,Cu,22.3113271754174,36.401876666666666,0.7625167614259739
Al_degrader_E4_E3_E2,Al,204.89999999999998,34.993034285714295,1.1693597974820868
Ni06,Ni,22.6306650304102,33.54667666666667,0.8138693315200474
Sn06,Sn,7.816394401438701,33.37993,0.8104138007421476
Ta06,Ta,27.3737995344027,33.23220333333334,0.8173711592592982
Cu06,Cu,22.2327148063246,32.99708333333334,0.8229614165047809
Al_degrader_E7_E6_E5,Al,204.89999999999998,31.469742222222223,1.2483574186352755
Ni07,Ni,22.5286949192319,29.89434,0.8901291841075654
Sn07,Sn,25.755854006141,29.622080000000004,0.8948991415796531
Ta07,Ta,27.5385876414374,29.369196666666667,0.8999039696854079
Cu07,Cu,22.2583804814744,29.110743333333335,0.9068487088753497
