filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CK09242025_Ta01_30cm_LEPS.Spe,178TAg,54.611,89206.00383998429,24781.05074889514,0.222,0.016,8.343767970699733e-06,2.013772097356556e-05,54368194365.12721,132142449773.06064,52176770.02411441,126816170.6075438,1970.6627024684685,09/24/2025 20:26:29,923.0,1042.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CK09242025_Ta01_30cm_LEPS.Spe,178TAg,55.79,521395.88559719524,44099.9404200007,0.38,0.03,8.42036050885476e-06,2.001414229144627e-05,183958277900.49152,437763579983.5196,176543452.8795504,420118598.8325524,1970.6627024684685,09/24/2025 20:26:29,923.0,1042.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CK09242025_Ta01_30cm_LEPS.Spe,178TAg,62.985,90661.16648590373,23447.012150201892,0.043,0.003,8.945826487365486e-06,1.919340751040492e-05,266071522404.82526,575293146078.6837,255346950.48447722,552104746.7165871,575.8988936424,09/24/2025 20:26:29,923.0,1042.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CK09242025_Ta01_30cm_LEPS.Spe,178TAg,63.243,14600.53867389435,21322.23799587075,0.083,0.006,8.966629025428672e-06,1.9162262231383286e-05,22147647484.559288,57349271577.3972,21254940.004375517,55037688.65393206,575.8988936424,09/24/2025 20:26:29,923.0,1042.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CK09242025_Ta01_30cm_LEPS.Spe,178TAg,64.942,291864.95003104984,15196.454962757633,0.028300000000000002,0.0021,9.107162831554522e-06,1.8954843950024382e-05,1278434330960.2415,2663343823059.566,1226904348.3303661,2555992152.648336,575.8988936424,09/24/2025 20:26:29,923.0,1042.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CK09242025_Ta01_30cm_LEPS.Spe,178TAg,93.13,14155.497277517285,575.3210253001371,0.066,0.019,1.2173666018829487e-05,1.5000685671562846e-05,19889589971.816505,25181926447.04754,19087898.245505285,24166915.9760533,10.128657177332789,09/24/2025 20:26:29,923.0,1042.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/CK09242025_Ta01_30cm_LEPS.Spe,178TAg,213.39,17739.138203027498,309.7375345339922,0.00086,0.00014000000000000001,2.634916045826761e-05,9.112828970408155e-06,883757885200.5226,338230598415.3932,848136166.2193115,324597503.2777286,4.272174331203236,09/24/2025 20:26:29,923.0,1042.0
