name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145117271366498,29.85335198,0.4677235155838111
Sn08,Sn,8.046865212275799,29.66664128,0.4555970708860644
Ta08,Ta,27.2272634699373,29.505189259999995,0.46673772547401005
Cu08,Cu,22.197401921045,29.249502659999997,0.4721023010459962
Al_degrader_E2_E1,Al,136.6,28.089254219999997,0.836483991673766
Ni09,Ni,22.6620064110796,26.892462679999998,0.5063479286095852
Sn09,Sn,7.8286470745411,26.69488986,0.4942593643717643
Ta09,Ta,27.3770561175463,26.521155699999998,0.506784099550795
Cu09,Cu,22.0914785222995,26.24438966,0.513130368313048
Al_degrader_E4_E3,Al,136.6,24.976420859999998,0.8974752579079048
Ni10,Ni,23.1074205467587,23.656615300000002,0.5597907064304568
Sn10,Sn,8.2321721033795,23.433128019999995,0.5467995192855235
Ta10,Ta,27.164647152063502,23.241018739999994,0.560785409019183
Cu10,Cu,22.2644313328078,22.935614700000002,0.5695366259898568
Al_degrader_E6_E5,Al,136.6,21.514896245454544,0.9954361087476337
Ni11,Ni,22.9408584114204,20.0252192,0.6364371365275285
Sn11,Sn,7.982003804529199,19.77484256,0.6233606955949712
Ta11,Ta,27.2001347393243,19.559368659999997,0.6403733034799346
Cu11,Cu,22.210567283127602,19.212484240000006,0.6526685913628926
Al_degrader_E8_E7,Al,136.6,17.559545084,1.1494170810334396
Ni12,Ni,23.1554160125588,15.79329438,0.7650779507085638
Sn12,Sn,8.021438398029,15.49130046,0.7527222061317098
Ta12,Ta,27.7023349124437,15.23092046,0.776504448637217
Cu12,Cu,22.1770476188809,14.810037759999998,0.7969617040825627
Al_degrader_E9,Al,68.3,13.687895379999999,1.0045352817968394
Ni13,Ni,23.1531870655676,12.48075882,0.9086009636095527
Sn13,Sn,7.3537483114218,12.12609932,0.9072295686845406
Ta13,Ta,27.336886972071003,11.825948954999998,0.9371995907673071
Cu13,Cu,22.1683258846436,11.321183075999999,0.9706727853253012
Al_degrader_E10,Al,68.3,9.900039894,1.2814683112931309
Ni14,Ni,23.06711661929,8.303934726666666,1.2440700215258753
Sn14,Sn,7.6195431461658005,7.8156538399999995,1.2801992924905303
Ta14,Ta,27.3605790832109,7.399586467499999,1.3467207976009248
Cu14,Cu,22.1246408363628,6.670855156363636,1.4697978907870766
