name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145117271366498,29.854223440000002,0.4671673971442853
Sn08,Sn,8.046865212275799,29.66751244,0.45501481387450055
Ta08,Ta,27.2272634699373,29.50605976,0.4661785066996787
Cu08,Cu,22.197401921045,29.250391540000003,0.47152208166365694
Al_degrader_E2_E1,Al,136.6,28.090168877142858,0.8361137239090636
Ni09,Ni,22.6620064110796,26.89341622,0.5057314855147064
Sn09,Sn,7.8286470745411,26.69585394,0.4936072833604428
Ta09,Ta,27.3770561175463,26.5221319,0.5061374799423473
Cu09,Cu,22.0914785222995,26.245364340000002,0.5124885534881383
Al_degrader_E4_E3,Al,136.6,24.977437446666663,0.8970675222377339
Ni10,Ni,23.1074205467587,23.6576766,0.5591079289479268
Sn10,Sn,8.2321721033795,23.434174679999998,0.5460895824376231
Ta10,Ta,27.164647152063502,23.242087239999996,0.5600820784752735
Cu10,Cu,22.2644313328078,22.936686159999997,0.568819683963604
Al_degrader_E6_E5,Al,136.6,21.51603190363636,0.9949594103152576
Ni11,Ni,22.9408584114204,20.0264319,0.6356730488721304
Sn11,Sn,7.982003804529199,19.77610648,0.6225283027316987
Ta11,Ta,27.2001347393243,19.560602479999996,0.6395613679842221
Cu11,Cu,22.210567283127602,19.21373504,0.6518585919324823
Al_degrader_E8_E7,Al,136.6,17.560898528000003,1.1488217323882035
Ni12,Ni,23.1554160125588,15.794794779999998,0.7640760800370284
Sn12,Sn,8.021438398029,15.49280578,0.7516969979975917
Ta12,Ta,27.7023349124437,15.232422799999998,0.7754850861494113
Cu12,Cu,22.1770476188809,14.811583839999997,0.7959006230999284
Al_degrader_E9,Al,68.3,13.689541075,1.0035436306847072
Ni13,Ni,23.1531870655676,12.482533067999999,0.9073774518063072
Sn13,Sn,7.3537483114218,12.12792674,0.9059111525933282
Ta13,Ta,27.336886972071003,11.827808295,0.9358976964012642
Cu13,Cu,22.1683258846436,11.323102883999999,0.9692958543349304
Al_degrader_E10,Al,68.3,9.902218146000001,1.280020096243931
Ni14,Ni,23.06711661929,8.306494599999999,1.2419918828119771
Sn14,Sn,7.6195431461658005,7.8183688799999995,1.2778079847330526
Ta14,Ta,27.3605790832109,7.40245656,1.3440897947358152
Cu14,Cu,22.1246408363628,6.674094185454545,1.4664323004086577
