name,energy,flux
Ni08,27.57,3.3333333333333335e-07
Ni08,27.63,3.3333333333333335e-07
Ni08,27.689999999999998,1.3333333333333334e-06
Ni08,27.75,2.333333333333333e-06
Ni08,27.81,2.333333333333333e-06
Ni08,27.869999999999997,8.333333333333334e-06
Ni08,27.93,1e-05
Ni08,27.99,2.2333333333333332e-05
Ni08,28.049999999999997,2.7e-05
Ni08,28.11,5.933333333333334e-05
Ni08,28.17,8.4e-05
Ni08,28.229999999999997,0.000133
Ni08,28.29,0.00020866666666666668
Ni08,28.35,0.000286
Ni08,28.409999999999997,0.00043633333333333333
Ni08,28.47,0.0006266666666666666
Ni08,28.53,0.0009356666666666667
Ni08,28.589999999999996,0.0012973333333333333
Ni08,28.65,0.0018566666666666666
Ni08,28.71,0.0025643333333333334
Ni08,28.769999999999996,0.0034453333333333332
Ni08,28.83,0.004735333333333334
Ni08,28.89,0.006170333333333333
Ni08,28.95,0.007958333333333333
Ni08,29.009999999999998,0.010201333333333333
Ni08,29.07,0.012479
Ni08,29.13,0.015526333333333333
Ni08,29.189999999999998,0.018852666666666667
Ni08,29.25,0.022221
Ni08,29.31,0.026248666666666667
Ni08,29.369999999999997,0.029869666666666666
Ni08,29.43,0.03399633333333334
Ni08,29.49,0.03791833333333333
Ni08,29.549999999999997,0.041403333333333334
Ni08,29.61,0.04471166666666666
Ni08,29.67,0.047141666666666665
Ni08,29.729999999999997,0.04931566666666667
Ni08,29.79,0.050557333333333336
Ni08,29.85,0.051194666666666666
Ni08,29.909999999999997,0.05074533333333334
Ni08,29.97,0.04946966666666667
Ni08,30.03,0.04766133333333333
Ni08,30.089999999999996,0.045226
Ni08,30.15,0.04196266666666667
Ni08,30.21,0.03837466666666667
Ni08,30.269999999999996,0.03446166666666667
Ni08,30.33,0.030675
Ni08,30.39,0.026581333333333332
Ni08,30.45,0.022763666666666668
Ni08,30.509999999999998,0.01919
Ni08,30.57,0.015723
Ni08,30.63,0.012931666666666666
Ni08,30.689999999999998,0.010291333333333333
Ni08,30.75,0.008018333333333334
Ni08,30.81,0.006321333333333333
Ni08,30.869999999999997,0.004750666666666667
Ni08,30.93,0.0036276666666666666
Ni08,30.99,0.0026023333333333332
Ni08,31.049999999999997,0.001883
Ni08,31.11,0.0013796666666666666
Ni08,31.17,0.0009463333333333333
Ni08,31.229999999999997,0.0006753333333333333
Ni08,31.29,0.00042566666666666664
Ni08,31.35,0.0003026666666666667
Ni08,31.409999999999997,0.00018366666666666667
Ni08,31.47,0.000123
Ni08,31.53,7.6e-05
Ni08,31.589999999999996,4.4666666666666664e-05
Ni08,31.65,2.966666666666667e-05
Ni08,31.71,1.7e-05
Ni08,31.769999999999996,1.1333333333333334e-05
Ni08,31.83,5.333333333333334e-06
Ni08,31.89,4.666666666666666e-06
Ni08,31.95,2e-06
Ni08,32.01,1.6666666666666667e-06
Ni08,32.07,1e-06
Ni08,32.129999999999995,0.0
Ni08,32.19,0.0
Ni08,32.25,3.3333333333333335e-07
Sn08,27.509999999999998,6.666666666666667e-07
Sn08,27.57,1.3333333333333334e-06
Sn08,27.63,2.333333333333333e-06
Sn08,27.689999999999998,5.666666666666667e-06
Sn08,27.75,8.333333333333334e-06
Sn08,27.81,1.2e-05
Sn08,27.869999999999997,2.5333333333333334e-05
Sn08,27.93,3.9e-05
Sn08,27.99,6.433333333333333e-05
Sn08,28.049999999999997,0.00010466666666666667
Sn08,28.11,0.000171
Sn08,28.17,0.00026
Sn08,28.229999999999997,0.000382
Sn08,28.29,0.0005356666666666667
