filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AO09242025_Ta08_10cm_LEPS.Spe,178TAg,54.611,298648.4273591008,20758.474782010126,0.222,0.016,4.04622737413447e-05,0.0004696710034148038,33995276999.924244,394619199725.49164,17807897.852238998,206715138.67233717,1038.6799178747656,09/24/2025 00:01:50,1867.0,1909.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AO09242025_Ta08_10cm_LEPS.Spe,178TAg,55.79,560381.1499153652,28006.17330035672,0.38,0.03,4.0911005422462265e-05,0.0004648428472724082,36857118514.87859,418795557295.36316,19307029.08060691,219379548.08557525,1038.6799178747656,09/24/2025 00:01:50,1867.0,1909.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AO09242025_Ta08_10cm_LEPS.Spe,178TAg,62.985,102260.84925227091,31727.80185338925,0.043,0.003,4.398341713452074e-05,0.00043246038076048696,55285798009.10449,543873627780.3483,28960606.605083548,284899752.63506985,171.56497042580494,09/24/2025 00:01:50,1867.0,1909.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AO09242025_Ta08_10cm_LEPS.Spe,178TAg,63.243,112263.07712878926,31711.702748112573,0.083,0.006,4.410473656897654e-05,0.00043121609317811166,31357052106.651173,306717121817.9341,16425904.717994329,160669000.42846206,171.56497042580494,09/24/2025 00:01:50,1867.0,1909.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AO09242025_Ta08_10cm_LEPS.Spe,178TAg,64.942,93698.451420204,4536.209871757522,0.028300000000000002,0.0021,4.492362285622653e-05,0.0004228942956447947,75358598953.32208,709429316894.407,39475431.615150385,371623529.01749974,171.56497042580494,09/24/2025 00:01:50,1867.0,1909.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AO09242025_Ta08_10cm_LEPS.Spe,178TAg,93.13,63607.65056779852,2480.5395220479318,0.066,0.019,6.267383776121545e-05,0.00025620064534840725,15723192823.886488,64436034032.8589,8236350.35300497,33753815.627479784,90.34623856829668,09/24/2025 00:01:50,1867.0,1909.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/AO09242025_Ta08_10cm_LEPS.Spe,178TAg,213.39,2784.517394724537,62.67368782084776,0.00086,0.00014000000000000001,0.00013708047180604837,0.00016055788647878656,24151132685.299957,28568185342.601482,12651195.749240417,14965000.179466465,1.144948097443287,09/24/2025 00:01:50,1867.0,1909.0
