natCu(p,x)58Co					
 					
					
	fit	fit			
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(mCi/uAh)	(MBq/uA)
23.7	0.012	0.0005	2.07E-06	5.58E-08	2.07E-06
23.8	0.012	0.0005	4.18E-06	1.13E-07	4.18E-06
23.9	0.013	0.0005	6.41E-06	1.73E-07	6.41E-06
24.0	0.014	0.0098	8.87E-06	2.40E-07	8.87E-06
24.1	0.016	0.0114	1.17E-05	3.17E-07	1.17E-05
24.2	0.019	0.0137	1.52E-05	4.11E-07	1.52E-05
24.3	0.024	0.017	1.95E-05	5.27E-07	1.95E-05
24.4	0.030	0.021	2.49E-05	6.72E-07	2.49E-05
24.5	0.037	0.026	3.16E-05	8.53E-07	3.16E-05
24.6	0.046	0.033	3.99E-05	1.08E-06	3.99E-05
24.7	0.057	0.040	5.02E-05	1.36E-06	5.02E-05
24.8	0.069	0.049	6.28E-05	1.70E-06	6.27E-05
24.9	0.083	0.059	7.80E-05	2.11E-06	7.80E-05
25.0	0.10	0.032	9.62E-05	2.60E-06	9.62E-05
25.1	0.12	0.038	1.18E-04	3.19E-06	1.18E-04
25.2	0.14	0.044	1.44E-04	3.88E-06	1.44E-04
25.3	0.16	0.052	1.74E-04	4.69E-06	1.74E-04
25.4	0.19	0.060	2.09E-04	5.64E-06	2.09E-04
25.5	0.22	0.069	2.49E-04	6.74E-06	2.49E-04
25.6	0.25	0.080	2.96E-04	8.01E-06	2.96E-04
25.7	0.29	0.092	3.50E-04	9.47E-06	3.50E-04
25.8	0.33	0.104	4.12E-04	1.11E-05	4.12E-04
25.9	0.37	0.12	4.82E-04	1.30E-05	4.82E-04
26.0	0.42	0.11	5.62E-04	1.52E-05	5.62E-04
26.1	0.48	0.13	6.52E-04	1.76E-05	6.52E-04
26.2	0.54	0.14	7.54E-04	2.04E-05	7.54E-04
26.3	0.60	0.16	8.68E-04	2.35E-05	8.68E-04
26.4	0.67	0.18	9.96E-04	2.69E-05	9.96E-04
26.5	0.75	0.20	1.14E-03	3.08E-05	1.14E-03
26.6	0.83	0.22	1.30E-03	3.51E-05	1.30E-03
26.7	0.92	0.24	1.48E-03	3.99E-05	1.48E-03
26.8	1.02	0.27	1.67E-03	4.52E-05	1.67E-03
26.9	1.12	0.30	1.89E-03	5.11E-05	1.89E-03
27.0	1.24	0.24	2.13E-03	5.76E-05	2.13E-03
27.1	1.36	0.26	2.40E-03	6.48E-05	2.40E-03
27.2	1.49	0.29	2.69E-03	7.27E-05	2.69E-03
27.3	1.63	0.32	3.01E-03	8.13E-05	3.01E-03
27.4	1.78	0.35	3.36E-03	9.08E-05	3.36E-03
27.5	1.95	0.38	3.75E-03	1.01E-04	3.74E-03
27.6	2.12	0.41	4.17E-03	1.13E-04	4.17E-03
27.7	2.31	0.45	4.63E-03	1.25E-04	4.62E-03
27.8	2.50	0.48	5.13E-03	1.39E-04	5.12E-03
27.9	2.71	0.52	5.67E-03	1.53E-04	5.67E-03
28.0	2.94	0.39	6.26E-03	1.69E-04	6.26E-03
28.1	3.18	0.42	6.90E-03	1.86E-04	6.90E-03
