,cross_section,unc_cross_section
0,3.010706833015863e-26,6.664878464181422e-28
1,3.9991450177113825e-26,8.891315352068576e-28
2,5.356440594659752e-26,1.1679024805950478e-27
3,4.9784118091775303e-26,1.0878928363867913e-27
4,4.3338871702542216e-26,9.45550167841007e-28
5,2.512035280116512e-26,5.6414906632193285e-28
6,5.3352557716477714e-27,1.3308316166055652e-28
7,6.1063233793790896e-27,1.5313596530174292e-28
8,2.6856808186126824e-28,1.5750810472624223e-29
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
