,cross_section,unc_cross_section
0,1.9931131896944497e-25,4.315937812744519e-27
1,2.1020435468855286e-25,4.626495264577359e-27
2,2.031286581489313e-25,4.4185265291027746e-27
3,2.037135342612762e-25,4.438312886590407e-27
4,2.0508458522615358e-25,4.4519735475299124e-27
5,2.642666302280357e-25,5.828749107090172e-27
6,3.789766569960542e-25,8.637320453636177e-27
7,3.554783156846508e-25,8.382136123162682e-27
8,4.808051066803398e-25,1.1143832246460551e-26
9,5.005651549162232e-25,1.1644977552875205e-26
10,4.843230251598236e-25,1.1608339062393265e-26
11,2.0764531085242053e-25,5.773852355217108e-27
12,1.7189116581716712e-26,5.46416502822821e-28
13,2.234889187187442e-27,9.201148997165311e-29
