,cross_section,unc_cross_section
0,5.788562280290405e-27,1.2507125339885664e-28
1,1.1934545223599613e-26,2.6182302975827e-28
2,1.3522727487501233e-26,2.9309701194654033e-28
3,1.145078783561064e-26,2.485567767701526e-28
4,7.61802496209907e-27,1.6495309749441867e-28
5,8.579359051543425e-28,inf
6,8.601933226896138e-28,inf
7,7.44182955081976e-28,inf
8,2.275253909927898e-26,5.269343821531665e-28
9,7.50913021995042e-28,inf
10,1.9368179489965652e-25,4.637878332363776e-27
11,7.4568667365919174e-28,inf
12,2.73975717867423e-25,8.553058355307914e-27
13,8.976736470959189e-27,3.2645786822211724e-28
