,cross_section,unc_cross_section
0,1.2898417963690613e-23,2.8025956164261885e-25
1,7.049679510479925e-25,1.5757648195397134e-26
2,8.362461062692461e-26,1.810324799332056e-27
3,1.3103057904947574e-25,2.8469837203255904e-27
4,1.7052462871097552e-25,3.7634097156561105e-27
5,3.213421799215665e-25,7.23310073884191e-27
6,7.198654067185652e-25,1.643892401285502e-26
7,6.267983287474798e-25,1.4809734067175764e-26
8,8.906794757782935e-25,2.0721961451045324e-26
9,8.776828605934205e-25,2.0814567085973498e-26
10,3.1171641396558124e-25,7.577098895378697e-27
11,1.5766001521610173e-29,1.3541764094426492e-30
12,6.241793303256778e-29,1.988858922195192e-30
13,2.514162961208788e-27,inf
