,energy,unc_left,unc_right,cross_section,unc_cross_section
#0,54.48918668626002,0.5420405387242084,0.5447856463289398,2.2833028211428413e-24,5.360694413481107e-26
#1,48.02881363587576,0.5936896386597468,0.5995246758843891,1.2499376568310114e-23,2.8115173494381453e-25
#2,42.86444300481433,0.6484430048143324,0.6537301512340008,2.115277794811355e-25,5.1345900205495135e-27
#3,38.993449828966554,0.697206528329481,0.7047522382921443,1.9135612602070322e-25,5.967282393802686e-27
#4,36.6207595589663,0.7303681490071483,0.738852967865121,1.364321185559953e-25,3.935874856342409e-27
#5,33.23275857758619,0.7841442516556256,0.7962355242217356,7.231559552457781e-26,3.4147228055393454e-27
#6,29.37087147710241,0.8566284492139609,0.879162992449487,4.09966802352768e-26,3.1979163499965187e-27
#7,29.505685825228607,0.5507266415551371,0.5483987194962658,7.329606537115584e-26,3.480997621148322e-27
#8,26.521663190554392,0.5971038848649037,0.596735141041016,1.2304355664953637e-25,3.257408806840331e-27
#9,23.241570397190124,0.6592984960632613,0.6627984115474881,6.782872563866594e-24,1.6136962817830077e-25
10,19.560004940001644,0.747000310372016,0.7588202348235278,3.230927158151214e-26,9.079283479856711e-28
11,15.231692867230954,0.8959402391835365,0.9261247710351128,3.389204661621217e-26,1.073417438674086e-27
12,11.826956491739123,1.0592042108433546,1.126284181267458,6.119008524909631e-26,1.9954766166906578e-27
13,7.402621662641025,1.3857816233868547,1.623819571764752,1.0960818719254273e-26,4.719934081146777e-28
