,energy,unc_left,unc_right,cross_section,unc_cross_section
#0,54.48918668626002,0.5420405387242084,0.5447856463289398,2.2118530633165695e-26,inf
#1,48.02881363587576,0.5936896386597468,0.5995246758843891,2.6437788789824495e-24,5.909720678748298e-26
2,42.86444300481433,0.6484430048143324,0.6537301512340008,4.858471133785313e-23,1.0517458030086583e-24
3,38.993449828966554,0.697206528329481,0.7047522382921443,1.0018996672639749e-25,2.1777039502445827e-27
4,36.6207595589663,0.7303681490071483,0.738852967865121,9.245966250332258e-26,2.0413472848691444e-27
5,33.23275857758619,0.7841442516556256,0.7962355242217356,8.39211503242844e-26,1.889551281255184e-27
6,29.37087147710241,0.8566284492139609,0.879162992449487,8.575605170602514e-26,1.958941413296855e-27
7,29.505685825228607,0.5507266415551371,0.5483987194962658,9.328623749532432e-26,2.204829199443821e-27
8,26.521663190554392,0.5971038848649037,0.596735141041016,8.312511806311448e-26,1.9344395247957736e-27
9,23.241570397190124,0.6592984960632613,0.6627984115474881,5.455089134455301e-26,1.2942321264900437e-27
10,19.560004940001644,0.747000310372016,0.7588202348235278,2.991561313871007e-26,7.272879948183908e-28
11,15.231692867230954,0.8959402391835365,0.9261247710351128,2.7660475191768816e-27,7.774233222551809e-29
12,11.826956491739123,1.0592042108433546,1.126284181267458,7.562007122411968e-29,2.7500994597506034e-30
13,7.402621662641025,1.3857816233868547,1.623819571764752,0.0,0.0
