,cross_section,unc_cross_section
0,5.326082025514163e-26,1.1614122858289643e-27
1,6.207310045908155e-26,1.3643377209597684e-27
2,6.639461460279438e-26,1.4382292377392955e-27
3,7.156727266649251e-26,1.5500090256209049e-27
4,7.348445964297483e-26,1.5892276863542988e-27
5,8.157181368445725e-26,1.799835194232847e-27
6,9.831284009980672e-26,2.2384074230112927e-27
7,9.414814242377586e-26,2.192503789819769e-27
8,1.2437470525012551e-25,2.88523790201756e-27
9,1.126477871140331e-25,2.6201886905318936e-27
10,8.32511851264443e-26,2.0203705422079677e-27
11,1.4982437015209566e-26,4.175404643179816e-28
12,3.609422634142108e-27,1.1304751912648434e-28
13,0.0,0.0
