,cross_section,unc_cross_section
0,7.295324136583037e-26,1.5742960229235352e-27
1,7.515781040324761e-26,1.648242148919759e-27
2,7.710408650278025e-26,1.6708207311323516e-27
3,7.990420727259532e-26,1.734187159539617e-27
4,9.186030695160233e-26,1.9875831534204346e-27
5,1.1267779329161302e-25,2.479172950555869e-27
6,1.510537839622663e-25,3.43732165350748e-27
7,1.4847688877618035e-25,3.4964663101145644e-27
8,1.7749618970896996e-25,4.109798675232074e-27
9,1.547042366175542e-25,3.595654472837763e-27
10,1.1509988669011971e-25,2.756235513594495e-27
11,1.44892671626321e-26,4.023286864836242e-28
12,3.985712023932381e-29,1.7973594385497436e-30
13,0.0,0.0
