,cross_section,unc_cross_section
0,1.7003217641028008e-26,3.707438269819324e-28
1,2.415388164653547e-26,5.308549558679022e-28
2,3.298985322272388e-26,7.145676671789023e-28
3,4.502266821592691e-26,9.75046170195318e-28
4,5.366526138224862e-26,1.160536989271942e-27
5,5.303134798821971e-26,1.170050634050529e-27
6,3.85230420970228e-26,8.770769708688704e-28
7,3.8745873168933695e-26,9.02274184353548e-28
8,2.5984780623974556e-26,6.0278272268905045e-28
9,2.608503839709706e-26,6.067086305493427e-28
10,4.5746840251807777e-26,1.1101653974449411e-27
11,2.1601038925839907e-25,6.0178985624679886e-27
12,2.6556071250657513e-25,8.303078561866742e-27
13,1.1661055910079515e-25,4.2683833826367255e-27
