,cross_section,unc_cross_section
0,8.645313422694138e-27,1.86857331594855e-28
1,9.608187398356289e-27,2.109913386708402e-28
2,1.0432704604999487e-26,2.2633327666915507e-28
3,1.0673938952622258e-26,2.3192690571059805e-28
4,8.439574814855249e-27,1.8288710077173738e-28
5,6.16368948077931e-27,1.3589903904231166e-28
6,3.0390946502910824e-27,6.944839361153421e-29
7,3.208869484587631e-27,7.582189490247133e-29
8,1.3251473362433241e-27,3.108538357529624e-29
9,7.975075270169904e-28,1.8833248806552562e-29
10,3.4783005543589944e-28,8.669921347408055e-30
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
