,cross_section,unc_cross_section
0,1.321079522073159e-25,2.9506948050568467e-27
1,1.614877044631809e-25,3.5445569129956824e-27
2,2.1439823371502916e-25,4.64891930866013e-27
3,2.1080724429830808e-25,4.5816976899666115e-27
4,2.044834076994182e-25,4.427618013987472e-27
5,1.6150075276526918e-25,3.5572544743146375e-27
6,7.581348570734037e-26,1.729919366310397e-27
7,7.955796204318361e-26,1.877227395988393e-27
8,2.5603919487436765e-26,6.00674966805377e-28
9,1.0657284666853452e-26,2.517840753348388e-28
10,1.3034913203031088e-27,3.6901809741700853e-29
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
