,cross_section,unc_cross_section
0,1.5219036093878625e-25,3.861004546253806e-27
1,1.4207216648992418e-25,3.895208972906005e-27
2,4.554014568566871e-25,1.014192324634636e-26
3,7.59504756376463e-26,2.785446534315043e-27
4,1.541461887689036e-25,3.388926849978756e-27
5,1.9606179338922345e-25,4.363249764626276e-27
6,2.801415417176971e-25,6.421018585424981e-27
7,2.56654040595902e-25,6.0846735623442434e-27
8,3.572056295130518e-25,8.318012319371281e-27
9,3.861933672156202e-25,9.019769525256855e-27
10,4.0677123825186487e-25,9.778724023018003e-27
11,1.8992065072880763e-25,5.3031161823139186e-27
12,1.7189116581716712e-26,5.46416502822821e-28
13,2.234889187187442e-27,9.201148997165311e-29
