,cross_section,unc_cross_section
0,1.2311332807461748e-25,2.7653832783356265e-27
1,1.5097028143166454e-25,3.319903010199984e-27
2,1.9482918081944004e-25,4.230326278653317e-27
3,5.773743974814851e-23,3.2648507842639427e-22
4,1.9486497660793953e-25,4.222182801482449e-27
5,1.5569438072845543e-25,3.432086165293535e-27
6,7.023169351243083e-26,1.6063690842590269e-27
7,7.638322081701078e-26,1.8042789539478768e-27
8,2.5679915403220834e-26,6.093597266264494e-28
9,9.852441927305337e-27,2.4272812688019175e-28
10,1.2342152463772665e-27,5.865964032578655e-29
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
