,energy,unc_left,unc_right,cross_section,unc_cross_section
#0,54.48918668626002,0.5420405387242084,0.5447856463289398,4.397338054691836e-22,9.554626586349702e-24
#1,48.02881363587576,0.5936896386597468,0.5995246758843891,0.0,0.0
#2,42.86444300481433,0.6484430048143324,0.6537301512340008,4.674734540420729e-23,1.0119685539685666e-24
3,38.993449828966554,0.697206528329481,0.7047522382921443,3.581034812997347e-26,7.782930682202849e-28
#4,36.6207595589663,0.7303681490071483,0.738852967865121,1.99463109903911e-24,4.402029329225251e-26
#5,33.23275857758619,0.7841442516556256,0.7962355242217356,1.5923962131006651e-27,3.6040574508892687e-29
#6,29.37087147710241,0.8566284492139609,0.879162992449487,4.840991159594167e-26,1.1057696393323635e-27
#7,29.505685825228607,0.5507266415551371,0.5483987194962658,1.9613132179011753e-24,4.6341077040387106e-26
#8,26.521663190554392,0.5971038848649037,0.596735141041016,2.067039531188648e-29,1.980419143417306e-30
#9,23.241570397190124,0.6592984960632613,0.6627984115474881,3.429519187734726e-24,8.133255826932511e-26
#10,19.560004940001644,0.747000310372016,0.7588202348235278,8.009406036879543e-29,4.426408743936721e-30
#11,15.231692867230954,0.8959402391835365,0.9261247710351128,2.587650485264154e-24,7.265173091428191e-26
#12,11.826956491739123,1.0592042108433546,1.126284181267458,4.5811299020190116e-27,1.4305214459151993e-28
#13,7.402621662641025,1.3857816233868547,1.623819571764752,1.4656709802002164e-24,5.3479623205302e-26
