,energy,unc_left,unc_right,cross_section,unc_cross_section
0,54.48918668626002,0.5420405387242084,0.5447856463289398,2.756737089548721e-27,6.027685833260808e-29
1,48.02881363587576,0.5936896386597468,0.5995246758843891,2.339749987594858e-29,2.2135414598937383e-30
2,42.86444300481433,0.6484430048143324,0.6537301512340008,2.4951152767600136e-29,2.224795615588125e-30
3,38.993449828966554,0.697206528329481,0.7047522382921443,1.2052686103913445e-29,1.5343629040774554e-30
4,36.6207595589663,0.7303681490071483,0.738852967865121,4.228668902593465e-30,1.253148193947807e-30
5,33.23275857758619,0.7841442516556256,0.7962355242217356,3.663609763730089e-30,9.09864866956046e-31
6,29.37087147710241,0.8566284492139609,0.879162992449487,0.0,0.0
7,29.505685825228607,0.5507266415551371,0.5483987194962658,0.0,0.0
8,26.521663190554392,0.5971038848649037,0.596735141041016,0.0,0.0
9,23.241570397190124,0.6592984960632613,0.6627984115474881,0.0,0.0
10,19.560004940001644,0.747000310372016,0.7588202348235278,0.0,0.0
11,15.231692867230954,0.8959402391835365,0.9261247710351128,0.0,0.0
12,11.826956491739123,1.0592042108433546,1.126284181267458,0.0,0.0
13,7.402621662641025,1.3857816233868547,1.623819571764752,0.0,0.0
