,cross_section,unc_cross_section
0,1.7122374074743514e-26,3.7334233554440887e-28
1,2.4583568614395387e-26,5.4029886963410275e-28
2,3.2977481421821885e-26,7.1430046057581675e-28
3,4.588891179988425e-26,9.938073341852218e-28
4,5.292734529031707e-26,1.144579624664309e-27
5,5.222260714914273e-26,1.1522075078821527e-27
6,3.8734223724989646e-26,8.818851446058982e-28
7,3.7590765817694006e-26,8.753779377143616e-28
8,2.5923393591136915e-26,6.013588203910765e-28
9,2.584920128056447e-26,6.01223528051608e-28
10,5.990463742144286e-26,1.4537386865233215e-27
11,2.406001622476458e-25,6.70295201729696e-27
12,2.9629859334688045e-25,9.264135538950923e-27
13,1.2766757168985153e-25,4.6731112520912344e-27
