,cross_section,unc_cross_section
0,3.902298081004626e-26,8.42218121584813e-28
1,2.6487210598774807e-26,5.809054989460054e-28
2,1.0730110270569453e-26,2.326061827026905e-28
3,6.057034400821841e-27,1.3156453528192817e-28
4,4.2602756402384415e-27,9.226396899118071e-29
5,3.082043217216469e-27,6.790518609454024e-29
6,2.9036376426941576e-27,6.616779443508525e-29
7,2.8309029975113603e-27,6.672687108481456e-29
8,4.1523736952101555e-27,9.62138601439637e-29
9,7.515263229143602e-27,1.7472981741711824e-28
10,1.9718973050884348e-26,4.722335167734615e-28
11,2.4998747568576462e-26,6.940286056074666e-28
12,1.4909966569748892e-26,4.654963213239565e-28
13,8.90828879499951e-28,3.2420399005145024e-29
