,cross_section,unc_cross_section
0,1.0064193663901226e-25,2.1912124366863886e-27
1,1.1087371637919311e-25,2.47925574594502e-27
2,1.0071958937400646e-25,2.181440245294214e-27
3,9.760695444649612e-26,2.121590292435942e-27
4,9.749177319918455e-26,2.1523371403102753e-27
5,8.954763470718472e-26,2.016296839633552e-27
6,9.849554597750586e-26,2.249721793733573e-27
7,9.467624663956537e-26,2.2375593571289312e-27
8,8.021140771999363e-26,1.8664604481045922e-27
9,5.754880259201153e-26,1.3649379359944449e-27
10,2.974309934052163e-26,7.231037767068458e-28
11,2.8757916373994242e-27,8.083661280645607e-29
12,1.5037305676313972e-28,5.288052552035426e-30
13,0.0,0.0
