,cross_section,unc_cross_section
0,1.108531552558777e-24,2.6361632932760556e-26
1,1.7177709323332608e-25,3.823216078918842e-27
2,1.8396999455259417e-25,4.002085762276955e-27
3,2.516684345771052e-25,5.7192034892887056e-27
4,1.8598014750669277e-25,4.037266626228141e-27
5,9.370181716546721e-26,2.0753326663120498e-27
6,5.0587409986116555e-26,6.068873362513585e-26
7,1.6483001175553248e-25,3.848680343253461e-27
8,2.234199677462953e-25,5.177954948494192e-27
9,2.4467332055309754e-25,5.691246371915641e-27
10,9.649114049040772e-26,2.316578197670351e-27
11,7.88317742688187e-26,2.196904532672128e-27
12,4.569604473285078e-26,1.4320563871920132e-27
13,1.6476988350592836e-26,5.993321083857199e-28
