,Activity foil,isotope,half life,half life (s),A0 bequerel,E gamma,I gamma,counting times at delays 2.00 d/2.17 d/2.33 d/2.50 d/2.67 d/2.83 d/3.00 d/3.17 d
1221,A0_Cu08,62CUg,9.67 min,580.38,6611.348151892748,1172.97,0.342,"['-', '-', '-', '-', '-', '-', '-', '-']"
1261,A0_Cu08,60COm1,10.47 min,628.02,1.9424754993904347,58.603,2.0601,"['-', '-', '-', '-', '-', '-', '-', '-']"
1251,A0_Cu08,60CUg,23.70 min,1422.0,101.42995269716428,1332.5,88.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
1289,A0_Cu08,63ZNg,38.47 min,2308.2,434332.67485059745,669.62,8.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
1274,A0_Cu08,61COg,1.65 h,5940.0,8753.490382278438,67.412,84.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
1324,A0_Cu08,61CUg,3.33 h,11998.8,1486101.795765681,282.956,12.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
1271,A0_Cu08,58COm1,9.10 h,32760.0,19047.642014667395,24.889,0.0397,"['-', '-', '-', '-', '-', '-', '-', '-']"
1191,A0_Cu08,62ZNg,9.26 h,33336.0,160452.82530626637,596.56,26.0,"['14.65 min', '19.83 min', '26.87 min', '36.47 min', '49.60 min', '1.13 h', '1.54 h', '2.13 h']"
1349,A0_Cu08,64CUg,12.70 h,45723.6,596838.2764270016,1345.77,0.475,"['1.40 h', '1.75 h', '2.21 h', '2.79 h', '3.54 h', '4.52 h', '5.82 h', '7.57 h']"
1265,A0_Cu08,58COg,70.86 d,6122304.0,80.50855117991665,810.7593,99.45,"['3.54 h', '3.55 h', '3.55 h', '3.56 h', '3.56 h', '3.57 h', '3.58 h', '3.58 h']"
1355,A0_Cu08,65ZNg,243.93 d,21075550.0,166.7593878808308,1115.539,50.04,"['3.35 h', '3.35 h', '3.35 h', '3.35 h', '3.35 h', '3.36 h', '3.36 h', '3.36 h']"
