,Activity foil,isotope,half life,half life (s),A0 bequerel,E gamma,I gamma,counting times at delays 2.00 d/2.17 d/2.33 d/2.50 d/2.67 d/2.83 d/3.00 d/3.17 d
0,A0_Ni01,57NIg,1.48 d,128160.0,237661.4770886936,1377.63,81.7,"['13.11 s', '14.18 s', '15.32 s', '16.57 s', '17.91 s', '19.36 s', '20.93 s', '22.62 s']"
95,A0_Ni01,52MNg,5.59 d,483062.4,5007.550118134547,1434.092,100.0,"['4.27 min', '4.35 min', '4.45 min', '4.54 min', '4.63 min', '4.73 min', '4.83 min', '4.93 min']"
60,A0_Ni01,56NIg,6.08 d,524880.0,6955.1886147441965,158.38,98.8,"['3.05 min', '3.11 min', '3.17 min', '3.23 min', '3.29 min', '3.35 min', '3.42 min', '3.48 min']"
667,A0_Ni01,51CRg,27.70 d,2393366.0,79.92832287146221,320.0824,9.91,"['1.57 d', '1.57 d', '1.58 d', '1.59 d', '1.59 d', '1.60 d', '1.61 d', '1.61 d']"
805,A0_Ni01,59FEg,44.49 d,3844368.0,8.13090768822569,1099.245,56.5,"['2.65 d', '2.66 d', '2.67 d', '2.67 d', '2.68 d', '2.69 d', '2.70 d', '2.70 d']"
549,A0_Ni01,58COg,70.86 d,6122304.0,1253.9345138116405,810.7593,99.45,"['13.63 min', '13.65 min', '13.67 min', '13.70 min', '13.72 min', '13.74 min', '13.76 min', '13.79 min']"
749,A0_Ni01,56COg,77.23 d,6672931.0,7744.623036394246,846.77,99.9399,"['2.19 min', '2.20 min', '2.20 min', '2.20 min', '2.21 min', '2.21 min', '2.21 min', '2.22 min']"
577,A0_Ni01,57COg,271.74 d,23478340.0,1995.4745874055193,122.06065,85.6,"['9.81 min', '9.81 min', '9.82 min', '9.82 min', '9.82 min', '9.83 min', '9.83 min', '9.84 min']"
709,A0_Ni01,54MNg,312.05 d,26961120.0,65.78118969191878,834.848,99.976,"['4.24 h', '4.24 h', '4.25 h', '4.25 h', '4.25 h', '4.25 h', '4.25 h', '4.25 h']"
702,A0_Ni01,55FEg,2.74 y,86594050.0,514.9308423958289,126.0,1.28e-07,"['-', '-', '-', '-', '-', '-', '-', '-']"
451,A0_Ni01,60COg,5.27 y,166344200.0,2.651576127540412,1332.492,99.9826,"['4.37 d', '4.37 d', '4.37 d', '4.37 d', '4.37 d', '4.37 d', '4.37 d', '4.37 d']"
316,A0_Ni02,59CUg,1.36 min,81.5,62.54200821427953,1301.35,14.78,"['-', '-', '-', '-', '-', '-', '-', '-']"
258,A0_Ni02,54COm1,1.48 min,88.8,54.32453574552403,1407.0,100.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
386,A0_Ni02,62COg,1.50 min,90.0,8.550014625491736,1172.9,83.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
652,A0_Ni02,50MNm1,1.75 min,105.0,12.374520938092356,783.3,100.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
225,A0_Ni02,53FEm1,2.54 min,152.4,976.5055381547758,701.1,100.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
170,A0_Ni02,61FEg,5.98 min,358.8,6.087283405142708,1205.07,42.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
190,A0_Ni02,53FEg,8.51 min,510.6,398480.5510211902,377.9,42.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
351,A0_Ni02,62CUg,9.67 min,580.38,41283.86040661934,1172.97,0.342,"['-', '-', '-', '-', '-', '-', '-', '-']"
490,A0_Ni02,60COm1,10.47 min,628.02,37655.02619152388,58.603,2.0601,"['-', '-', '-', '-', '-', '-', '-', '-']"
899,A0_Ni02,60COm,10.47 min,628.02,8207.54492529856,58.603,2.0601,"['-', '-', '-', '-', '-', '-', '-', '-']"
421,A0_Ni02,62COm1,13.91 min,834.6,5426.136728339111,1172.9,97.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
135,A0_Ni02,52MNm1,21.10 min,1266.0,146582.2865753688,1434.06,98.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
880,A0_Ni02,52MNm,21.10 min,1266.0,62.727214313683625,1434.06,98.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
719,A0_Ni02,60CUg,23.70 min,1422.0,200745.58392317416,1332.5,88.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
682,A0_Ni02,47Vg,32.60 min,1956.0,151.56551376279765,1793.9,0.191,"['-', '-', '-', '-', '-', '-', '-', '-']"
45,A0_Ni02,49CRg,42.30 min,2538.0,1156.9321752106246,90.639,53.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
281,A0_Ni02,51MNg,46.20 min,2772.0,10383.018341404722,749.07,0.265,"['-', '-', '-', '-', '-', '-', '-', '-']"
787,A0_Ni02,61COg,1.65 h,5940.0,47455.63970997453,67.412,84.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
519,A0_Ni02,56MNg,2.58 h,9284.04,947.920101472199,846.7638,98.85,"['-', '-', '-', '-', '-', '-', '-', '-']"
845,A0_Ni02,61CUg,3.33 h,11998.8,29935.361087087513,282.956,12.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
571,A0_Ni02,58COm1,9.10 h,32760.0,248285.9542072262,24.889,0.0397,"['-', '-', '-', '-', '-', '-', '-', '-']"
924,A0_Ni02,58COm,9.10 h,32760.0,9671.044059842354,24.889,0.0397,"['-', '-', '-', '-', '-', '-', '-', '-']"
671,A0_Ni02,64CUg,12.70 h,45723.6,1044.812056583281,1345.77,0.475,"['-', '-', '-', '-', '-', '-', '-', '-']"
617,A0_Ni02,55COg,17.53 h,63108.0,175190.68796338583,931.1,75.0,"['50.79 s', '59.50 s', '1.16 min', '1.36 min', '1.59 min', '1.87 min', '2.19 min', '2.56 min']"
5,A0_Ni02,57NIg,1.48 d,128160.0,267385.2079745672,1377.63,81.7,"['11.66 s', '12.60 s', '13.62 s', '14.72 s', '15.92 s', '17.21 s', '18.60 s', '20.11 s']"
100,A0_Ni02,52MNg,5.59 d,483062.4,2657.8263036842714,1434.092,100.0,"['8.04 min', '8.21 min', '8.38 min', '8.55 min', '8.73 min', '8.91 min', '9.10 min', '9.29 min']"
65,A0_Ni02,56NIg,6.08 d,524880.0,7447.635301806502,158.38,98.8,"['2.85 min', '2.90 min', '2.96 min', '3.01 min', '3.07 min', '3.13 min', '3.19 min', '3.25 min']"
668,A0_Ni02,51CRg,27.70 d,2393366.0,14.26663343970402,320.0824,9.91,"['9.69 d', '9.74 d', '9.78 d', '9.83 d', '9.88 d', '9.92 d', '9.97 d', '10.02 d']"
810,A0_Ni02,59FEg,44.49 d,3844368.0,6.123292051410949,1099.245,56.5,"['3.55 d', '3.56 d', '3.57 d', '3.58 d', '3.59 d', '3.60 d', '3.60 d', '3.61 d']"
552,A0_Ni02,58COg,70.86 d,6122304.0,1370.33998806895,810.7593,99.45,"['12.47 min', '12.49 min', '12.51 min', '12.53 min', '12.55 min', '12.57 min', '12.59 min', '12.61 min']"
754,A0_Ni02,56COg,77.23 d,6672931.0,8538.573586141647,846.77,99.9399,"['1.99 min', '1.99 min', '1.99 min', '2.00 min', '2.00 min', '2.00 min', '2.01 min', '2.01 min']"
582,A0_Ni02,57COg,271.74 d,23478340.0,2161.6205643045096,122.06065,85.6,"['9.05 min', '9.06 min', '9.06 min', '9.07 min', '9.07 min', '9.07 min', '9.08 min', '9.08 min']"
710,A0_Ni02,54MNg,312.05 d,26961120.0,24.406907628269664,834.848,99.976,"['11.44 h', '11.44 h', '11.45 h', '11.45 h', '11.46 h', '11.46 h', '11.47 h', '11.47 h']"
703,A0_Ni02,55FEg,2.74 y,86594050.0,467.5401442911554,126.0,1.28e-07,"['-', '-', '-', '-', '-', '-', '-', '-']"
456,A0_Ni02,60COg,5.27 y,166344200.0,2.5771352508739436,1332.492,99.9826,"['4.50 d', '4.50 d', '4.50 d', '4.50 d', '4.50 d', '4.50 d', '4.50 d', '4.50 d']"
321,A0_Ni03,59CUg,1.36 min,81.5,67.56997583574179,1301.35,14.78,"['-', '-', '-', '-', '-', '-', '-', '-']"
261,A0_Ni03,54COm1,1.48 min,88.8,58.50182522068572,1407.0,100.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
391,A0_Ni03,62COg,1.50 min,90.0,8.211461863237357,1172.9,83.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
657,A0_Ni03,50MNm1,1.75 min,105.0,8.73191350984514,783.3,100.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
230,A0_Ni03,53FEm1,2.54 min,152.4,1073.7605094269982,701.1,100.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
175,A0_Ni03,61FEg,5.98 min,358.8,3.680448583889716,1205.07,42.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
195,A0_Ni03,53FEg,8.51 min,510.6,437300.9742661244,377.9,42.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
356,A0_Ni03,62CUg,9.67 min,580.38,46231.70775896506,1172.97,0.342,"['-', '-', '-', '-', '-', '-', '-', '-']"
494,A0_Ni03,60COm1,10.47 min,628.02,38134.55371353148,58.603,2.0601,"['-', '-', '-', '-', '-', '-', '-', '-']"
903,A0_Ni03,60COm,10.47 min,628.02,8197.241845195249,58.603,2.0601,"['-', '-', '-', '-', '-', '-', '-', '-']"
426,A0_Ni03,62COm1,13.91 min,834.6,5191.486974997446,1172.9,97.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
140,A0_Ni03,52MNm1,21.10 min,1266.0,85717.34368686471,1434.06,98.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
885,A0_Ni03,52MNm,21.10 min,1266.0,30.80210964811657,1434.06,98.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
724,A0_Ni03,60CUg,23.70 min,1422.0,220231.09992654735,1332.5,88.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
687,A0_Ni03,47Vg,32.60 min,1956.0,83.68852581103059,1793.9,0.191,"['-', '-', '-', '-', '-', '-', '-', '-']"
50,A0_Ni03,49CRg,42.30 min,2538.0,484.78899057174465,90.639,53.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
286,A0_Ni03,51MNg,46.20 min,2772.0,11274.192152025851,749.07,0.265,"['-', '-', '-', '-', '-', '-', '-', '-']"
790,A0_Ni03,61COg,1.65 h,5940.0,44056.28477467253,67.412,84.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
524,A0_Ni03,56MNg,2.58 h,9284.04,825.7487164251704,846.7638,98.85,"['-', '-', '-', '-', '-', '-', '-', '-']"
850,A0_Ni03,61CUg,3.33 h,11998.8,33383.573292170324,282.956,12.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
