,Activity foil,isotope,half life,half life (s),A0 bequerel,E gamma,I gamma,counting times at delays 2.00 d/2.17 d/2.33 d/2.50 d/2.67 d/2.83 d/3.00 d/3.17 d
3118,A0_Cu05,60CUg,23.70 min,1422.0,241376.4416797906,1332.5,88.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
3397,A0_Cu05,63ZNg,38.47 min,2308.2,1909868.0925096888,669.62,8.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
3348,A0_Cu05,61COg,1.65 h,5940.0,27089.11899724226,67.412,84.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
3432,A0_Cu05,61CUg,3.33 h,11998.8,2759124.906802058,282.956,12.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
3251,A0_Cu05,58COm1,9.10 h,32760.0,146840.38934412226,24.889,0.0397,"['-', '-', '-', '-', '-', '-', '-', '-']"
3033,A0_Cu05,62ZNg,9.26 h,33336.0,95848.18064254282,596.56,26.0,"['24.68 min', '33.48 min', '45.50 min', '1.03 h', '1.41 h', '1.95 h', '2.70 h', '3.78 h']"
3511,A0_Cu05,64CUg,12.70 h,45723.6,515369.5969990993,1345.77,0.475,"['1.63 h', '2.05 h', '2.58 h', '3.27 h', '4.17 h', '5.35 h', '6.93 h', '9.11 h']"
2973,A0_Cu05,57NIg,1.48 d,128160.0,129.83331387211675,1377.63,81.7,"['7.14 h', '7.77 h', '8.45 h', '9.20 h', '10.02 h', '10.93 h', '11.92 h', '13.02 h']"
3238,A0_Cu05,58COg,70.86 d,6122304.0,765.8184595281267,810.7593,99.45,"['22.32 min', '22.35 min', '22.39 min', '22.43 min', '22.46 min', '22.50 min', '22.54 min', '22.57 min']"
3526,A0_Cu05,65ZNg,243.93 d,21075550.0,102.7481547287284,1115.539,50.04,"['5.44 h', '5.44 h', '5.44 h', '5.44 h', '5.45 h', '5.45 h', '5.45 h', '5.45 h']"
3274,A0_Cu05,57COg,271.74 d,23478340.0,54.57978798078887,122.06065,85.6,"['5.98 h', '5.98 h', '5.98 h', '5.99 h', '5.99 h', '5.99 h', '5.99 h', '6.00 h']"
3298,A0_Cu05,55FEg,2.74 y,86594050.0,2.193382789343948,126.0,1.28e-07,"['-', '-', '-', '-', '-', '-', '-', '-']"
3168,A0_Cu05,60COg,5.27 y,166344200.0,3.0314296584353504,1332.492,99.9826,"['3.82 d', '3.82 d', '3.82 d', '3.82 d', '3.82 d', '3.83 d', '3.83 d', '3.83 d']"
3326,A0_Cu06,61ZNg,1.48 min,89.1,135.85506862424646,475.0,16.5,"['-', '-', '-', '-', '-', '-', '-', '-']"
3088,A0_Cu06,62CUg,9.67 min,580.38,8880480.815728106,1172.97,0.342,"['-', '-', '-', '-', '-', '-', '-', '-']"
3198,A0_Cu06,60COm1,10.47 min,628.02,28226.426185159384,58.603,2.0601,"['-', '-', '-', '-', '-', '-', '-', '-']"
3497,A0_Cu06,62COm1,13.91 min,834.6,61.02487774309611,1172.9,97.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
3123,A0_Cu06,60CUg,23.70 min,1422.0,70658.35337515207,1332.5,88.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
3402,A0_Cu06,63ZNg,38.47 min,2308.2,2510994.901855144,669.62,8.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
3351,A0_Cu06,61COg,1.65 h,5940.0,23980.99122463217,67.412,84.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
3437,A0_Cu06,61CUg,3.33 h,11998.8,3193409.6360576143,282.956,12.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
3252,A0_Cu06,58COm1,9.10 h,32760.0,119802.06502277238,24.889,0.0397,"['-', '-', '-', '-', '-', '-', '-', '-']"
3038,A0_Cu06,62ZNg,9.26 h,33336.0,105403.94708400132,596.56,26.0,"['22.41 min', '30.39 min', '41.27 min', '56.19 min', '1.28 h', '1.76 h', '2.43 h', '3.39 h']"
3512,A0_Cu06,64CUg,12.70 h,45723.6,550439.1685753457,1345.77,0.475,"['1.52 h', '1.91 h', '2.41 h', '3.05 h', '3.88 h', '4.96 h', '6.40 h', '8.38 h']"
2978,A0_Cu06,57NIg,1.48 d,128160.0,23.39644911990833,1377.63,81.7,"['2.73 d', '3.23 d', '3.95 d', '5.15 d', '8.81 d', '-', '-', '-']"
3241,A0_Cu06,58COg,70.86 d,6122304.0,603.4952679125306,810.7593,99.45,"['28.32 min', '28.37 min', '28.41 min', '28.46 min', '28.51 min', '28.55 min', '28.60 min', '28.65 min']"
3529,A0_Cu06,65ZNg,243.93 d,21075550.0,119.59722868212928,1115.539,50.04,"['4.67 h', '4.67 h', '4.67 h', '4.68 h', '4.68 h', '4.68 h', '4.68 h', '4.68 h']"
3279,A0_Cu06,57COg,271.74 d,23478340.0,12.726170396582337,122.06065,85.6,"['1.07 d', '1.07 d', '1.07 d', '1.07 d', '1.07 d', '1.07 d', '1.07 d', '1.07 d']"
3173,A0_Cu06,60COg,5.27 y,166344200.0,1.8120091461298873,1332.492,99.9826,"['6.40 d', '6.40 d', '6.40 d', '6.40 d', '6.40 d', '6.40 d', '6.40 d', '6.40 d']"
3331,A0_Cu07,61ZNg,1.48 min,89.1,71.86808336176912,475.0,16.5,"['-', '-', '-', '-', '-', '-', '-', '-']"
3093,A0_Cu07,62CUg,9.67 min,580.38,10343787.8079951,1172.97,0.342,"['-', '-', '-', '-', '-', '-', '-', '-']"
3202,A0_Cu07,60COm1,10.47 min,628.02,11621.500657255456,58.603,2.0601,"['-', '-', '-', '-', '-', '-', '-', '-']"
3502,A0_Cu07,62COm1,13.91 min,834.6,6.245935521223855,1172.9,97.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
3128,A0_Cu07,60CUg,23.70 min,1422.0,15070.859882445722,1332.5,88.0,"['-', '-', '-', '-', '-', '-', '-', '-']"
3407,A0_Cu07,63ZNg,38.47 min,2308.2,2849152.3016079394,669.62,8.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
3354,A0_Cu07,61COg,1.65 h,5940.0,20960.89415382775,67.412,84.7,"['-', '-', '-', '-', '-', '-', '-', '-']"
3442,A0_Cu07,61CUg,3.33 h,11998.8,2828616.2329655094,282.956,12.2,"['-', '-', '-', '-', '-', '-', '-', '-']"
3253,A0_Cu07,58COm1,9.10 h,32760.0,64814.97054573488,24.889,0.0397,"['-', '-', '-', '-', '-', '-', '-', '-']"
3043,A0_Cu07,62ZNg,9.26 h,33336.0,138997.75096818284,596.56,26.0,"['16.94 min', '22.94 min', '31.10 min', '42.25 min', '57.53 min', '1.31 h', '1.80 h', '2.49 h']"
3513,A0_Cu07,64CUg,12.70 h,45723.6,604354.3583287704,1345.77,0.475,"['1.38 h', '1.73 h', '2.18 h', '2.75 h', '3.49 h', '4.46 h', '5.73 h', '7.45 h']"
3244,A0_Cu07,58COg,70.86 d,6122304.0,301.6429723681835,810.7593,99.45,"['56.67 min', '56.76 min', '56.85 min', '56.94 min', '57.04 min', '57.13 min', '57.22 min', '57.32 min']"
3532,A0_Cu07,65ZNg,243.93 d,21075550.0,144.43401580394652,1115.539,50.04,"['3.87 h', '3.87 h', '3.87 h', '3.87 h', '3.87 h', '3.88 h', '3.88 h', '3.88 h']"
