isotope,foil,energy,activity,counts,intensity,efficiency,delay time,count time
56MNg,Cu01,846.7638,139792990.2113642,589.8741972003598,0.9885,0.0002058762375305,13773.0,800.0
56MNg,Cu01,1810.726,69262473.20466171,37.52901031245437,0.269,9.714618009397892e-05,13773.0,800.0
56NIg,Cu01,158.38,30668048964.43773,27958.70704029758,0.988,0.0008899120110667,13773.0,800.0
56NIg,Cu01,269.5,41057007.67343705,9.534364320342414,0.365,0.0006135990268081,13773.0,800.0
56NIg,Cu01,480.44,89755528.62252922,11.900551167239708,0.365,0.0003503370591176,13773.0,800.0
56NIg,Cu01,749.95,42258098.804221824,5.006227857227417,0.495,0.000230817395889,13773.0,800.0
56NIg,Cu01,811.85,571188642.086883,109.1120459639334,0.86,0.000214223821628,13773.0,800.0
56NIg,Cu01,1561.8,1834837532.4799085,29.974931864047367,0.14,0.0001125396684126,13773.0,800.0
57NIg,Cu01,1377.63,1006919306.181188,420.60441948785353,0.8170000000000001,0.0001275804773782,13773.0,800.0
57NIg,Cu01,1919.52,890849762.5841882,40.26889515114188,0.123,9.170378256426858e-05,13773.0,800.0
59CUg,Cu01,1301.35,2.826570430612313e+44,7.563649451357483e-12,0.1478,0.0001350522102824,13773.0,800.0
59FEg,Cu01,1099.245,13582693616.145136,176.1464340621324,0.5650000000000001,0.0001595360420543,13773.0,800.0
59FEg,Cu01,1291.59,296623967422.1511,2508.5788194568254,0.432,0.0001360683363437,13773.0,800.0
60CUg,Cu01,826.4,68793842021.53667,1233.1458467368095,0.217,0.0002106644971048,13773.0,800.0
60CUg,Cu01,1035.2,114607950172.21931,281.5569974523288,0.037,0.0001693308393509,13773.0,800.0
60CUg,Cu01,1293.7,893366835375.9888,880.3731728774069,0.0185,0.0001358474374709,13773.0,800.0
60CUg,Cu01,1332.5,70412400491.0868,3204.799640357856,0.88,0.0001319031798968,13773.0,800.0
60CUg,Cu01,1791.6,71314704353.59306,1246.3595141511769,0.454,9.817357344184904e-05,13773.0,800.0
60CUg,Cu01,1861.6,58345061358.6704,103.79590498496552,0.048,9.451942838269704e-05,13773.0,800.0
60CUg,Cu01,1936.9,70048462936.70207,54.92430884516288,0.022,9.089280677375078e-05,13773.0,800.0
60CUg,Cu01,2158.9,47413122395.82364,50.74781622929374,0.0334,8.172567945255799e-05,13773.0,800.0
61CUg,Cu01,282.956,41357715468.44278,60200.40307511025,0.122,0.0005853879990364,13773.0,800.0
61CUg,Cu01,373.05,41682901656.271614,7966.205435082105,0.021,0.0004465139697321,13773.0,800.0
61CUg,Cu01,529.169,43986721507.709854,1089.8044760307032,0.0038,0.0003198925931345,13773.0,800.0
61CUg,Cu01,588.605,38779458950.17834,2677.944895675601,0.0117,0.0002895841691454,13773.0,800.0
61CUg,Cu01,656.008,39489781339.04797,22745.44020891146,0.108,0.000261665610675,13773.0,800.0
61CUg,Cu01,816.692,50154489607.51561,675.0617909074266,0.0031,0.0002130260946156,13773.0,800.0
61CUg,Cu01,841.211,69945618874.03032,620.1911693220272,0.0021,0.0002071603106961,13773.0,800.0
61CUg,Cu01,908.631,42728097147.661125,1844.6166222545028,0.011,0.0001925576014819,13773.0,800.0
61CUg,Cu01,1099.56,32257693778.97932,262.1493007695702,0.0025,0.0001594909950257,13773.0,800.0
61CUg,Cu01,1185.234,42724414010.19404,4773.497366882767,0.037,0.0001481561336083,13773.0,800.0
61CUg,Cu01,1662.0,32221977987.37414,36.12329768258834,0.00052,0.0001057773389309,13773.0,800.0
61CUg,Cu01,1729.473,23283741971.28915,26.054991897767763,0.00054,0.0001016728955854,13773.0,800.0
62ZNg,Cu01,243.36,5583601032.704584,1177.496399581321,0.0252,0.0006754954152225,13773.0,800.0
62ZNg,Cu01,246.95,4098868178.677704,642.9598635796602,0.019,0.000666413902018,13773.0,800.0
62ZNg,Cu01,394.03,4148030553.3574815,487.41124571141154,0.0224,0.0004234316508159,13773.0,800.0
62ZNg,Cu01,548.35,4877136920.221832,2860.2794699387946,0.153,0.0003094067809832,13773.0,800.0
62ZNg,Cu01,596.56,4702767249.514335,4331.865752467273,0.26,0.0002859735677247,13773.0,800.0
63ZNg,Cu01,669.62,18877921528.17391,1356.570008451417,0.0819999999999999,0.0002566832338125,13773.0,800.0
63ZNg,Cu01,962.06,19598386465.163692,792.3033360333113,0.065,0.0001821717918969,13773.0,800.0
63ZNg,Cu01,1412.08,23090489078.478783,73.58955055683663,0.0075,0.0001244643785428,13773.0,800.0
64CUg,Cu01,1345.77,23272872015.127483,141.2425843799129,0.00475,0.0001306035573836,13773.0,800.0
