,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
41,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BQ09242025_Sn07_80cm_DET2.Spe,117SNm,158.56,2676.2878154813006,14032137.728146004,0.8640000000000001,0.0432,0.0003090003326841,1.1566548802174475e-05,11659632.5174142,61133024785.38661,35547.66011406768,186381173.12617868,1.6132007904744483,09/24/2025 16:07:50,282.0,328.0
104,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/GT10292025_IDM_Sn07_10cm_000.Spe,117SNm,156.02,2006.0066794515951,1224.0385308218658,0.02113,0.00012,0.0188772236671856,0.0007265023119189,5047518.405488798,3088238.5361629883,171.64926904335164,105.0206942856216,1.31622094822278,10/29/2025 09:14:15,29299.0,29406.0
106,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/GT10292025_IDM_Sn07_10cm_000.Spe,117SNm,158.56,12258.198432021569,23275.5460086337,0.8640000000000001,0.0432,0.0187881429032894,0.0007144608170849,757900.5202329885,1439885.2488718631,25.77366932710972,48.965695738007994,1.31622094822278,10/29/2025 09:14:15,29299.0,29406.0
122,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/ES09272025_Sn07_10cm_LEPS.Spe,117SNm,158.56,5877.832424633521,8876.482361514427,0.8640000000000001,0.0432,0.0001117845665093,0.00012294463947,60959600.58781118,113929224.9392059,6736.611845265906,12590.255822655088,1.3217017740877892,09/27/2025 08:05:06,9034.0,9049.0
147,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FY10032025_Det2_Sn07_10cm.Spe,117SNm,156.02,2484.036566463136,76.8300009639449,0.02113,0.00012,0.0137316380037495,0.0003552072940463,8605852.484698826,390652.62597949937,796.8381930276691,36.17153944254624,1.2148972470694073,10/03/2025 12:42:44,10744.0,10800.0
148,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FY10032025_Det2_Sn07_10cm.Spe,117SNm,158.56,46344.47114726696,187219.81558415876,0.8640000000000001,0.0432,0.0136167859691429,0.0003641106293673,3959746.036576892,15997947.861068578,366.6431515348974,1481.291468617461,1.2148972470694073,10/03/2025 12:42:44,10744.0,10800.0
192,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DX09252025_Sn07_10cm_DET2.Spe,117SNm,156.02,1304.724123098085,104.33566698700324,0.02113,0.00012,0.0137316380037495,0.0003552072940463,4687972.110739928,415690.1701522501,1274.9448220668828,113.05144687306228,0.7874002566757208,09/25/2025 21:04:17,3527.0,3677.0
193,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DX09252025_Sn07_10cm_DET2.Spe,117SNm,158.56,67045.15617803903,44611.72407895622,0.8640000000000001,0.0432,0.0136167859691429,0.0003641106293673,5941104.936490418,3967593.606970946,1615.7478750313892,1079.0300807644671,0.7874002566757208,09/25/2025 21:04:17,3527.0,3677.0
233,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FF09282025_Sn07_10cm_DET2.Spe,117SNm,156.02,1959.6056357823152,66.99944832148574,0.02113,0.00012,0.0137316380037495,0.0003552072940463,6840328.372965042,333754.5523951363,972.4663595344102,47.44875638258976,0.7136206111605622,09/28/2025 14:06:34,6945.0,7034.0
234,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/FF09282025_Sn07_10cm_DET2.Spe,117SNm,158.56,732.0973464311572,1259.1904855733608,0.8640000000000001,0.0432,0.0136167859691429,0.0003641106293673,63024.67182296324,108484.87328162056,8.960004524163098,15.422927677227833,0.7136206111605622,09/28/2025 14:06:34,6945.0,7034.0
312,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/FF09282025_Sn07_10cm_LEPS.Spe,117SNm,158.56,10610.045114412962,198.2131238472753,0.8640000000000001,0.0432,0.0001117845665093,0.00012294463947,109982901.03834048,121110176.1776659,10620.210606251494,11694.686768797405,3.382122482661509,09/28/2025 21:22:54,10344.0,10356.0
