filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,55COg,91.9,2142.4727529625093,177.1350826541784,0.0116,0.0009,0.006048804058085528,0.0002590826890351887,32741127.828176998,4030828.4044238427,9512.23934578065,1171.071587572296,1.2548209849316485,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,57COg,122.06065,115863.6201131449,697.609984912583,0.856,0.0017000000000000001,0.005509990683825007,0.00012707629565088233,26340759.8026827,634765.1345595273,7652.748344765457,184.41752892490624,3.4769289726299433,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,57NIg,127.164,319755.14482327877,1059.7037403323463,0.167,0.005,0.005430116464352963,0.00012313776655423174,378092235.7044564,14271464.920385862,109846.66929240453,4146.271040205073,3.4769289726299433,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,57COg,136.47356,14206.297504565167,159.33324151794545,0.1068,0.0008,0.0052911905672704115,0.00013639550137216276,26956411.83770178,816200.6954171727,7831.612968536252,237.12977786669748,0.7170190049888198,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,56NIg,158.38,3290.4210823569742,162.0460785648646,0.988,0.01,0.004997422280345218,0.00020158387523827828,714585.6973209727,47716.05084081631,207.60769823386772,13.862885194891431,1.1112027623320098,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,55COg,411.5,1033.7127987053366,112.46738307148432,0.010700000000000001,0.0008,0.0023559922104575914,4.052986539518265e-05,43969152.944075435,6011188.511695697,12774.303586308959,1746.4231585402954,1.2417509995960716,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,55COg,477.2,15989.963597862123,182.06929521093403,0.20199999999999999,0.017,0.002044680473417063,3.6034843113245886e-05,41512270.69568312,3615484.018294097,12060.508627450065,1050.4020971220502,1.4440314264781118,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,55COg,520.0,284.002215230646,168.53558658480821,0.0083,0.0008,0.0018842116722539329,3.273977048718723e-05,19472413.30574315,11768701.837846186,5657.296137636011,3419.146379385876,10.306327139132486,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,55COg,803.7,882.3272601445926,65.6465377448615,0.0187,0.0015,0.0012420838684732312,1.8671574214666533e-05,40732681.64472803,4702676.88707447,11834.01558533644,1366.2628957218099,0.9246384971968347,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,56NIg,811.85,965.3566385810085,72.44647336215687,0.86,0.009000000000000001,0.0012299893621399401,1.8546494319297255e-05,978574.3194942892,81901.00340159769,284.3039859076959,23.794597153282304,0.9246384971968347,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,62CUg,875.66,18.072109935176538,42.98227178084585,0.00147,0.0001,0.001142644337523971,1.7970368595906942e-05,11536824.519136306,27584547.71434809,3351.779348964644,8014.104507364349,0.949019067898546,09/26/2025 03:49:21,3210.0,3442.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/EB09262025_Ni11_20cm_IDM.Spe,55COg,931.1,31075.3695329426,206.51454684481686,0.75,0.0375,0.0010755109587179637,1.7882949757195588e-05,41309128.433186226,2206392.5363162206,12001.489957346375,641.0204928286521,1.2852221719092956,09/26/2025 03:49:21,3210.0,3442.0
