filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,115SBg,115.6,470.27736568750595,144.11909444417873,0.00235,0.0002,0.000324150728599545,1.373734124681083e-05,771205017.6109293,249994772.31483975,992541.8502071161,321743.5937127925,1.135810132475471,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,112INm,156.61,4408.559951467687,975.9236305992071,0.1333,0.006665,0.00031063095932328677,1.1857958806892887e-05,133000262.42128277,30673452.856993347,171171.50890769984,39476.77330372374,3.2654298532726824,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,117SBg,158.562,95004.40226976114,28468.181817222685,0.8590000000000001,0.04295000000000001,0.00030899862978363334,1.156625242008729e-05,447120566.1995438,136867446.23557547,575444.744143557,176148.5794537651,3.2654298532726824,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,117INg,158.6,24173.76868426162,29177.792491266053,0.87,0.09,0.00030896626316133613,1.1560622239934968e-05,112342654.98728138,136161768.70753112,144585.1415537727,175240.3715669641,3.2654298532726824,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,123SNm,160.32,6537.9852533661215,396.8514016081364,0.8570000000000001,0.04285,0.0003074789538964618,1.1308099624083025e-05,30994051.763476223,2717932.224014577,39889.38450897841,3497.982270289031,3.2654298532726824,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,118SBm,253.678,43541.02613070958,425.8844890782718,0.99,0.06,0.00021981575843849524,5.164695864505235e-06,249939718.22613144,16472858.104062552,321672.7390297702,21200.589580518084,3.5600853900139118,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,113INm,391.698,174.02145736438112,60.4542955629267,0.6494,0.0017000000000000001,0.00015140763358376344,2.7067273797312035e-06,2210921.787611687,787152.0954842909,2845.459186115427,1013.0657599540423,1.2952823119117998,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,116INm,416.9,666.8653272154427,66.12809300210003,0.272,0.004,0.00014389631983575043,2.4690975230617913e-06,21283849.56047549,2316271.781749789,27392.341776673733,2981.044764156743,0.8438768658249988,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,116SBg,463.12,419.0174180781602,73.06105328117346,0.0034999999999999996,0.0003,0.00013227180131943715,2.1447050251115363e-06,1130647946.4565847,227253962.36019883,1455145.3622349866,292476.14203371794,1.2755158083325302,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,115SBg,489.3,952.2895891427609,162.32739297753997,0.013000000000000001,0.003,0.00012666012820958505,2.0134940519084695e-06,722464305.517387,208908269.45400438,929812.4910133681,268865.2116525153,5.03017604328046,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,115SBg,497.31,123408.5551880563,774.4975718453694,0.9790000000000001,0.048949999999999994,0.00012505901462805775,1.979847376539043e-06,1259152139.3059018,66605697.624674864,1620530.4238171193,85721.61856457511,5.03017604328046,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,117INg,552.9,840.2848405302143,66.4256197051111,1.0,0.1,0.00011518279829374392,1.8166150538866196e-06,9113171.377003584,1212014.9806010723,11728.663290866903,1559.8648398984199,1.011625231757991,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,122SBg,564.24,660.2614997482726,64.54132225210343,0.7067,0.035335,0.00011339472763033414,1.7960317344857998e-06,10292447.363135584,1209995.513688927,13246.393002748498,1557.2657833834326,1.0038719687568873,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,116INm,818.68,479.9066609526685,74.56584741594595,0.1213,0.0014000000000000002,8.526196997337234e-05,1.838990588326112e-06,57965721.821227625,9493605.71739808,74601.95858587854,12218.282776574104,1.1978832307429557,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,116SBg,931.84,16545.93611619055,176.57941490304017,0.24800000000000003,0.019,7.715918606433241e-05,1.9342467552393617e-06,1080146490.096199,88230750.68577747,1390149.922903731,113553.08968568529,1.730406352783308,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,118SBm,1050.69,16593.18193619512,144.40556714708129,0.97,0.05,7.007880817517957e-05,1.997768671797733e-06,304931203.3875138,18310372.15601061,392446.8512065815,23565.472530258183,1.1229450528963694,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,118SBm,1091.51,459.28944244598273,51.99326576658993,0.036000000000000004,0.003,6.79701669227871e-05,2.0029408634146917e-06,234474846.05732733,35408930.43957782,301769.42864520894,45571.3390470757,0.9118158466595262,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,116INm,1097.28,715.9243253205652,50.51861051565586,0.585,0.008,6.768476238409949e-05,2.00281816800353e-06,22586606.115672268,1948047.4479418749,29068.991139861348,2507.1395726407654,0.9118158466595262,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,111SNg,1152.98,225.53078028997825,45.34597749582981,0.027000000000000003,0.00135,6.507171004136251e-05,1.9906792442059666e-06,160354249.14948943,35240135.379418515,206376.12503151793,45354.09958741121,1.3899229722210307,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,118SBm,1229.65,15219.527057066214,135.25974670143432,1.0,0.05,6.18067010739248e-05,1.9514488654410854e-06,307607009.3448943,18562672.517159957,395890.61691749585,23890.183419768284,1.2317784089579418,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,115SBg,1236.6,383.6184042503228,38.60628844748407,0.0058,0.0003,6.152735736521191e-05,1.9480946431374614e-06,1342869508.3676848,172036684.4338269,1728274.785543996,221411.4342777695,1.2317784089579418,09/23/2025 18:53:26,622.0,777.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AA09232025_Sn08_80cm_DET2.Spe,116SBg,1293.558,39845.733796550914,38690.31762853289,0.85,0.06,5.9332500990593155e-05,1.9448355362194215e-06,986963024.0747486,961429956.929463,1270222.6822068838,1237361.5919298108,15.933273300932838,09/23/2025 18:53:26,622.0,777.0
